,Unnamed: 0,track_id,timestamp_ms,x,y,vx,vy,ax,ay
23827,23827,reprocessed_2024-07-16-14-47-54.bag_644,205541.21801757807,-4.952924066631056,1.861199720485104,-0.1164513887485297,-0.0146147098383623,-0.0810113614621988,0.0015825122551746
23828,23828,reprocessed_2024-07-16-14-47-54.bag_644,205607.67114257807,-4.953797132586431,1.8508980591270188,-0.1007841540282185,-0.0256031222182306,-0.0526102656326453,-0.0131978760143417
23829,23829,reprocessed_2024-07-16-14-47-54.bag_644,205774.5642089844,-4.965362356123649,1.8451716106970932,-0.0985833745313701,-0.0309770030118699,-0.0330799849833112,-0.0175396876385348
23830,23830,reprocessed_2024-07-16-14-47-54.bag_644,205841.1970214844,-4.963427418985702,1.8443409388986252,-0.0880327587281273,-0.0287738605353558,0.0147821827637738,-0.0283566519754052
23831,23831,reprocessed_2024-07-16-14-47-54.bag_644,205941.18701171875,-4.966139225725328,1.845873888004661,-0.0857064379145735,-0.0229375348496229,0.0158642276473036,-0.0149486316550462
23832,23832,reprocessed_2024-07-16-14-47-54.bag_644,206007.6931152344,-4.968284441473713,1.846795005540514,-0.070128268566165,-0.0194923763000763,0.0478355762934771,-0.0135156225163093
23833,23833,reprocessed_2024-07-16-14-47-54.bag_644,206107.8381347656,-4.972679742440334,1.83793469502794,-0.0677667687459396,-0.0225189454911639,0.0579103162278071,-0.0042109118748074
23834,23834,reprocessed_2024-07-16-14-47-54.bag_644,206174.80004882807,-4.965296139618033,1.8347844480583435,-0.0469333356188847,-0.0246141444388181,0.0993084972922945,-0.0116836184852018
23835,23835,reprocessed_2024-07-16-14-47-54.bag_644,206307.7241210937,-4.946745551899312,1.837916797045665,-0.0162794643894952,-0.0324588913310737,0.1223287140438108,-0.017327651497694
23836,23836,reprocessed_2024-07-16-14-47-54.bag_644,206407.75,-4.9343674016940895,1.8326008450846127,-0.0106106053170526,-0.0278149267911396,0.1270055606648707,-0.012099714485558
23837,23837,reprocessed_2024-07-16-14-47-54.bag_644,206507.67700195312,-4.92752762779952,1.829663418339976,0.0026390821293408,-0.0335853775435363,0.1419376884434889,-0.0186167849026807
23838,23838,reprocessed_2024-07-16-14-47-54.bag_644,206607.72509765625,-4.915715144801368,1.8351953590032792,0.0118823293889458,-0.019916622539782,0.1276000734837074,0.0115810235278227
23839,23839,reprocessed_2024-07-16-14-47-54.bag_644,206741.2280273437,-4.901106416432185,1.8394475163516688,0.029098317073005,-0.0219703767155596,0.1391769815713131,0.0132626206706892
23840,23840,reprocessed_2024-07-16-14-47-54.bag_644,206907.91723632807,-4.88809128653628,1.8653225451445508,0.0387542640518083,-0.0082227159105786,0.1291358531921993,0.018203731864564
23841,23841,reprocessed_2024-07-16-14-47-54.bag_644,207041.24609375,-4.879945109031894,1.8826549528465648,0.0425855369285603,0.0007335807958235,0.1296828474848669,0.0190842631807894
